year,canton,mppa_a,mppa_b,mppa_c,mppa_d,mppa_e,hm_a,hm_b,hm_c,hm_d,hm_e,tot_a,tot_b,tot_c,tot_d,tot_e
2022,ZG,,,,,,,729.66168263,430.0730211,1159.7347037,4.5552380952,,729.66168263,430.0730211,1159.7347037,4.5552380952
2022,FR,,,,,,3.0025149025,2334.8574941,881.52740471,3219.3874137,4.2442857143,3.0025149025,2334.8574941,881.52740471,3219.3874137,4.2442857143
2022,SO,,,,,,,1995.2521075,1055.3235402,3050.5756477,13.429047619,,1995.2521075,1055.3235402,3050.5756477,13.429047619
2022,BS,,,,,,,2157.0964491,884.11913807,3041.2155872,1.3185714286,,2157.0964491,884.11913807,3041.2155872,1.3185714286
2022,BL,,,,,,,2208.9613446,1046.6581191,3255.6194637,11.05,,2208.9613446,1046.6581191,3255.6194637,11.05
2022,SH,,,,,,,828.25396122,434.37065715,1262.6246184,1.6285714286,,828.25396122,434.37065715,1262.6246184,1.6285714286
2022,AR,,,,,,,559.4888841,367.04431866,926.53320276,1.9828571429,,559.4888841,367.04431866,926.53320276,1.9828571429
2022,AI,,,,,,,120.12332624,63.518859734,183.64218598,.5214285714,,120.12332624,63.518859734,183.64218598,.5214285714
2022,SG,,13.753431373,5.4230392157,19.176470588,,.2433984055,3675.8191249,1991.1771812,5667.2397045,24.848095238,.2433984055,3689.5725562,1996.6002204,5686.4161751,24.848095238
2022,GR,,,,,,1.4244236049,1678.0173223,817.98408404,2497.42583,10.034285714,1.4244236049,1678.0173223,817.98408404,2497.42583,10.034285714
2022,AG,,,,,,9.6341575092,4499.5003785,2232.2131645,6741.3477006,33.748571429,9.6341575092,4499.5003785,2232.2131645,6741.3477006,33.748571429
2022,TG,,,,,,,1990.2461726,1004.5155817,2994.7617543,14.106666667,,1990.2461726,1004.5155817,2994.7617543,14.106666667
2022,TI,,,,,,17.353846154,3970.9387592,1632.5072802,5620.7998855,13.175714286,17.353846154,3970.9387592,1632.5072802,5620.7998855,13.175714286
2022,VD,,35.62608328,35.766515781,71.392599061,,15.663636932,5564.5922914,2652.1930844,8232.449012700001,8.166666666699991,15.663636932,5600.2183746,2687.9596002,8303.8416118,8.166666666699991
